0003-598X	1996
0003-813X	1996
0004-9522	1995
0008-4107	1995
0008-4107	1996
0009-4455	1995
0010-4175	1996
0011-3212	1996
0012-8449	1996
0013-2683	1995
0013-8266	1995
0013-8266	1996
0018-246X	1996
0018-2613	1996
0018-2648	1996
0018-2753	1996
0019-7211	1996
0020-8590	1996
0021-8537	1996
0021-9118	1996
0022-0094	1996
0022-1953	1996
0022-2801	1995
0022-2801	1996
0022-4529	1995
0022-4529	1996
0022-4634	1996
0022-5037	1996
0023-656X	1996
0029-3652	1995
0030-8684	1995
0037-6779	1996
0037-6795	1996
0048-8003	1995
0079-4848	1996
0095-1390	1995
0095-1390	1996
0129-797X	1995
0142-7962	1996
0143-781X	1996
0262-7280	1995
0265-6914	1996
0265-7325	1996
0305-8034	1996
0313-6221	1996
0315-7997	1996
0707-5332	1995
0707-5332	1996
0950-9224	1995
0968-7475	1995
0968-7475	1996
1056-8190	1995
1069-5834	1996
1078-6279	1996
1331-3134	1994
1350-7486	1996
1361-2343	1994
1361-9462	1994
